Years After Graduation,Field of Study (2-digit CIP code),Median Income,cred_Bachelor's degree,cred_Certificate,cred_Diploma,cred_Doctoral degree,cred_Master's degree,cred_Professional bachelor's degree
-1.404,0.13,34700,1,0,0,0,0,0
0.004,0.93,117500,0,0,1,0,0,0
-0.700,0.62,83400,0,0,0,0,0,1
0.004,-0.77,35500,0,0,1,0,0,0
-1.404,-0.82,33100,1,0,0,0,0,0
1.413,-0.77,35200,0,0,1,0,0,0
-1.404,1.88,35700,0,1,0,0,0,0
-1.404,2.26,63700,0,0,0,1,0,0
-1.404,0.19,36400,1,0,0,0,0,0
-0.700,-0.33,64600,0,0,1,0,0,0
1.413,-0.92,46000,1,0,0,0,0,0
0.709,-0.10,90300,0,0,0,0,1,0
-0.700,0.13,72200,0,0,0,0,1,0
0.709,0.44,76600,0,0,0,1,0,0
-1.404,-0.82,31300,0,0,0,1,0,0
1.413,0.68,83300,0,0,1,0,0,0
1.413,-0.10,54000,1,0,0,0,0,0
-0.700,-0.33,36000,0,0,1,0,0,0
1.413,-0.10,45500,1,0,0,0,0,0
0.004,-0.10,78800,0,0,0,1,0,0
0.709,-0.82,71900,1,0,0,0,0,0
0.709,0.13,79600,1,0,0,0,0,0
0.004,-1.66,45200,0,0,0,0,1,0
0.004,0.30,79800,0,0,0,0,1,0
-0.700,1.88,81300,0,0,1,0,0,0
0.004,-1.50,56000,0,1,0,0,0,0
0.004,-0.82,42400,0,0,1,0,0,0
0.004,2.26,91000,0,0,0,1,0,0
0.709,-0.33,48000,0,1,0,0,0,0
-0.700,-1.50,49100,0,1,0,0,0,0
0.709,0.19,63900,0,0,0,1,0,0
-1.404,0.19,39400,1,0,0,0,0,0
1.413,0.13,78400,0,0,0,0,1,0
-0.700,-0.10,41500,1,0,0,0,0,0
-1.404,-0.33,34400,0,1,0,0,0,0
0.709,-0.10,61000,0,0,0,0,1,0
0.709,-0.82,57100,1,0,0,0,0,0
-0.700,-0.62,53300,0,0,0,1,0,0
1.413,-0.09,50100,0,0,1,0,0,0
0.709,0.19,54300,1,0,0,0,0,0
0.004,-1.21,28600,0,0,1,0,0,0
0.709,0.67,91100,0,0,1,0,0,0
0.004,-0.82,60200,0,0,0,0,1,0
-1.404,-0.09,70800,0,0,0,0,1,0
0.004,-0.82,45600,1,0,0,0,0,0
1.413,0.13,46600,0,1,0,0,0,0
0.709,-1.66,33100,0,0,1,0,0,0
-1.404,0.62,41700,1,0,0,0,0,0
0.709,0.13,66400,0,0,0,0,1,0
-1.404,0.45,56200,1,0,0,0,0,0
0.709,0.19,64500,0,0,0,0,1,0
1.413,0.62,57100,1,0,0,0,0,0
0.709,2.26,128800,0,0,0,1,0,0
-1.404,-0.82,44000,1,0,0,0,0,0
-1.404,1.53,79400,1,0,0,0,0,0
-1.404,0.13,73800,1,0,0,0,0,0
1.413,0.44,56900,1,0,0,0,0,0
1.413,2.26,84500,1,0,0,0,0,0
0.709,-0.10,71500,0,0,0,0,1,0
-1.404,-0.82,47400,0,0,0,0,1,0
0.709,-0.33,53200,1,0,0,0,0,0
0.709,0.67,64800,1,0,0,0,0,0
0.004,0.45,74400,0,0,0,0,1,0
0.709,-1.22,38000,0,0,1,0,0,0
0.004,0.67,59400,1,0,0,0,0,0
0.709,-0.82,62200,1,0,0,0,0,0
0.709,-1.62,46200,1,0,0,0,0,0
0.709,-0.33,68800,0,0,1,0,0,0
0.004,-0.09,74700,0,0,0,0,1,0
-1.404,0.67,43100,0,1,0,0,0,0
-0.700,0.62,42600,0,0,1,0,0,0
-0.700,0.13,42500,0,0,1,0,0,0
0.004,-0.82,30900,0,0,0,0,1,0
-0.700,-0.09,55800,0,0,1,0,0,0
0.709,-0.33,59700,0,0,1,0,0,0
-0.700,0.45,69700,0,0,0,0,1,0
0.709,2.26,82900,0,0,0,1,0,0
-1.404,-0.33,36400,1,0,0,0,0,0
1.413,-0.10,70700,0,0,0,0,1,0
0.709,0.13,36400,0,1,0,0,0,0
-0.700,0.13,24100,0,0,1,0,0,0
-1.404,-0.55,50200,0,0,1,0,0,0
-0.700,-0.90,37500,0,0,1,0,0,0
1.413,1.53,71200,1,0,0,0,0,0
-1.404,0.19,24900,0,0,0,1,0,0
-1.404,-0.55,41700,1,0,0,0,0,0
-0.700,2.26,96600,0,0,0,1,0,0
0.709,-0.10,50500,1,0,0,0,0,0
1.413,0.62,106000,0,0,0,0,0,1
0.709,-1.62,36400,0,1,0,0,0,0
0.004,-0.10,57400,1,0,0,0,0,0
0.004,-0.62,44700,1,0,0,0,0,0
0.709,-0.33,71300,1,0,0,0,0,0
-0.700,-0.33,31500,0,1,0,0,0,0
-0.700,-1.62,33500,0,1,0,0,0,0
-0.700,0.19,40200,0,0,0,1,0,0
0.004,1.53,75100,0,0,1,0,0,0
0.709,-0.33,51000,0,1,0,0,0,0
1.413,-1.22,38000,0,1,0,0,0,0
-1.404,0.13,76300,0,0,1,0,0,0
0.709,-0.55,42500,1,0,0,0,0,0
-1.404,0.44,58000,1,0,0,0,0,0
0.709,-1.21,31700,0,0,1,0,0,0
-0.700,0.67,50800,0,1,0,0,0,0
0.709,0.30,46400,0,0,1,0,0,0
-1.404,-0.33,38900,0,0,1,0,0,0
-1.404,-0.77,36400,0,0,0,1,0,0
0.004,0.16,51100,0,0,1,0,0,0
1.413,0.13,96200,0,0,0,1,0,0
-1.404,0.68,59800,0,0,1,0,0,0
0.004,-0.10,48800,1,0,0,0,0,0
1.413,-1.05,47500,0,1,0,0,0,0
-0.700,-1.34,44200,1,0,0,0,0,0
0.709,1.53,63000,1,0,0,0,0,0
0.709,0.13,58400,0,0,1,0,0,0
0.709,-0.55,56200,0,0,1,0,0,0
1.413,1.88,101000,0,1,0,0,0,0
-1.404,-0.82,41900,1,0,0,0,0,0
0.709,2.26,111400,1,0,0,0,0,0
0.004,-0.55,60100,1,0,0,0,0,0
-1.404,0.68,49200,0,0,1,0,0,0
0.004,-0.10,62900,0,0,0,0,1,0
-1.404,0.93,35000,0,1,0,0,0,0
0.004,0.30,53400,0,1,0,0,0,0
-0.700,-0.33,42500,0,0,1,0,0,0
0.004,-0.33,66900,1,0,0,0,0,0
0.004,-0.09,75100,0,0,0,1,0,0
1.413,0.13,76200,1,0,0,0,0,0
-0.700,-1.66,31700,1,0,0,0,0,0
0.709,0.13,44800,0,0,1,0,0,0
0.004,-1.66,30600,0,0,1,0,0,0
0.709,0.30,63200,0,1,0,0,0,0
0.709,-0.82,32700,0,1,0,0,0,0
1.413,0.13,47400,0,1,0,0,0,0
1.413,-0.82,56400,1,0,0,0,0,0
-0.700,2.26,59100,1,0,0,0,0,0
0.004,-0.33,56200,0,0,1,0,0,0
-1.404,-0.27,45700,1,0,0,0,0,0
-1.404,0.30,93700,0,0,0,0,1,0
-1.404,0.13,52100,1,0,0,0,0,0
1.413,0.13,45200,0,1,0,0,0,0
-1.404,0.13,48500,1,0,0,0,0,0
0.709,-0.62,47700,1,0,0,0,0,0
0.709,0.68,54400,0,1,0,0,0,0
0.709,-0.82,53100,0,0,0,1,0,0
0.709,2.26,98300,0,0,0,1,0,0
-0.700,0.44,69800,0,0,0,1,0,0
1.413,0.30,52500,0,1,0,0,0,0
-0.700,0.16,66300,0,0,0,0,1,0
-1.404,-1.13,31600,1,0,0,0,0,0
0.004,-1.66,29500,0,0,1,0,0,0
0.709,0.19,70800,1,0,0,0,0,0
-1.404,0.13,32800,0,0,1,0,0,0
1.413,0.13,61200,0,0,0,0,1,0
1.413,2.26,75100,1,0,0,0,0,0
0.709,0.68,58600,0,0,1,0,0,0
0.004,0.68,64900,0,0,1,0,0,0
0.709,-0.33,59600,1,0,0,0,0,0
-0.700,0.13,45100,0,0,1,0,0,0
0.004,-0.33,46600,1,0,0,0,0,0
0.004,-0.55,42900,0,0,1,0,0,0
1.413,-0.77,64100,0,0,0,0,1,0
0.709,-0.62,76100,0,0,0,1,0,0
0.004,0.13,94200,0,0,0,0,1,0
0.004,2.26,75600,0,0,0,1,0,0
0.004,-0.82,38300,0,0,1,0,0,0
-0.700,-0.09,36800,0,0,1,0,0,0
-1.404,1.53,80200,0,0,0,0,1,0
0.004,0.19,55600,1,0,0,0,0,0
-0.700,-0.10,74500,0,0,0,1,0,0
0.709,1.53,89400,0,0,0,1,0,0
-0.700,0.67,46900,0,0,1,0,0,0
-0.700,2.26,90600,0,0,0,1,0,0
-1.404,-0.33,41000,0,1,0,0,0,0
1.413,-0.33,77100,1,0,0,0,0,0
0.709,2.26,78100,1,0,0,0,0,0
0.709,0.13,68600,0,0,0,1,0,0
-1.404,-0.27,33500,1,0,0,0,0,0
-1.404,0.13,68600,0,0,0,0,1,0
0.004,0.19,55600,0,0,0,1,0,0
-0.700,0.30,77400,0,0,0,0,1,0
0.004,-0.83,52300,1,0,0,0,0,0
0.709,-0.10,59500,1,0,0,0,0,0
-0.700,0.13,48600,1,0,0,0,0,0
1.413,2.26,85700,0,0,0,1,0,0
0.004,-0.33,37800,0,1,0,0,0,0
-0.700,0.13,45100,1,0,0,0,0,0
-0.700,-0.27,47600,1,0,0,0,0,0
0.709,-1.66,40900,0,0,1,0,0,0
0.709,0.13,71800,0,0,1,0,0,0
-0.700,0.13,80800,0,0,0,0,0,1
-1.404,0.44,56800,0,0,0,0,1,0
1.413,0.68,55100,0,0,1,0,0,0
0.709,0.44,70400,0,0,0,0,1,0
-1.404,2.26,44000,1,0,0,0,0,0
0.004,-0.77,28600,0,0,1,0,0,0
0.709,0.13,38100,0,1,0,0,0,0
-1.404,-0.82,26400,0,0,1,0,0,0
-0.700,0.13,50200,0,0,1,0,0,0
0.709,-1.66,43800,1,0,0,0,0,0
-0.700,-0.33,56800,1,0,0,0,0,0
0.709,0.68,71000,0,0,1,0,0,0
1.413,0.16,65000,0,0,0,0,1,0
0.004,0.13,93700,0,0,0,1,0,0
0.709,2.26,114300,0,0,0,0,1,0
-1.404,-0.82,33600,0,0,1,0,0,0
-1.404,-1.66,33600,0,0,1,0,0,0
-0.700,-1.66,29200,0,1,0,0,0,0
-1.404,-1.62,25500,0,0,0,1,0,0
-1.404,0.93,40600,0,1,0,0,0,0
-1.404,0.30,55200,1,0,0,0,0,0
-1.404,-0.33,47800,1,0,0,0,0,0
1.413,-0.33,38000,0,0,1,0,0,0
0.709,-0.27,75100,1,0,0,0,0,0
0.004,2.26,88600,0,0,0,0,1,0
-0.700,-0.10,51700,1,0,0,0,0,0
0.004,0.13,35200,0,1,0,0,0,0
1.413,0.30,93500,0,0,0,0,1,0
-1.404,-0.82,13200,0,0,0,1,0,0
0.004,-0.33,35600,0,0,1,0,0,0
0.004,0.44,61700,0,0,0,0,1,0
-0.700,-0.33,51000,1,0,0,0,0,0
-1.404,0.68,47800,0,1,0,0,0,0
0.709,-1.66,58400,0,0,0,0,1,0
-0.700,-0.33,44200,0,0,1,0,0,0
-0.700,-0.55,47600,1,0,0,0,0,0
0.004,-0.82,37400,0,1,0,0,0,0
0.004,0.62,41700,0,1,0,0,0,0
-1.404,0.30,42500,0,0,1,0,0,0
1.413,0.13,26200,0,0,1,0,0,0
-0.700,2.26,63700,1,0,0,0,0,0
-0.700,0.13,70700,0,0,1,0,0,0
-0.700,0.93,121000,0,0,1,0,0,0
-0.700,0.68,75600,1,0,0,0,0,0
0.709,-1.34,34900,0,0,1,0,0,0
0.004,-1.21,49700,1,0,0,0,0,0
1.413,1.53,49800,1,0,0,0,0,0
-1.404,-1.22,33500,0,0,1,0,0,0
1.413,-1.66,34700,0,1,0,0,0,0
0.004,-0.83,40500,1,0,0,0,0,0
0.004,-1.62,32800,0,1,0,0,0,0
-1.404,0.44,61800,0,0,0,1,0,0
-0.700,1.88,47200,0,0,1,0,0,0
1.413,0.13,103100,0,0,0,0,0,1
-0.700,2.26,65900,0,0,0,1,0,0
1.413,0.13,39000,0,1,0,0,0,0
-0.700,0.19,49100,1,0,0,0,0,0
0.004,0.13,82700,1,0,0,0,0,0
0.709,0.30,91600,0,0,0,0,1,0
0.004,0.13,61500,0,0,0,1,0,0
-0.700,0.45,68900,0,0,0,0,1,0
0.709,0.30,89500,0,0,0,1,0,0
-0.700,0.13,53000,0,0,0,1,0,0
0.004,-0.83,36200,0,0,1,0,0,0
-0.700,1.53,65400,0,0,1,0,0,0
-0.700,-1.66,29000,0,0,1,0,0,0
1.413,-0.77,67300,0,0,0,1,0,0
0.004,0.13,73000,0,0,0,0,1,0
1.413,-0.33,77700,1,0,0,0,0,0
-0.700,-0.77,64900,0,0,0,0,1,0
-0.700,-1.22,36700,0,0,1,0,0,0
0.004,-0.33,60600,1,0,0,0,0,0
0.004,0.30,49500,0,1,0,0,0,0
1.413,0.13,46200,0,0,0,0,0,1
-1.404,0.13,75700,0,0,1,0,0,0
0.004,-1.62,33000,0,0,0,1,0,0
-1.404,-1.50,31100,0,0,1,0,0,0
-1.404,0.62,40200,0,1,0,0,0,0
0.709,-1.66,31300,1,0,0,0,0,0
-0.700,0.13,55100,0,0,1,0,0,0
0.004,-0.82,48400,0,0,1,0,0,0
-1.404,0.93,102900,0,0,1,0,0,0
-1.404,2.26,63400,0,0,0,1,0,0
-1.404,0.68,55900,0,0,1,0,0,0
0.004,-0.10,66800,0,0,0,0,1,0
1.413,-0.10,54100,0,0,0,0,1,0
0.004,0.19,74900,0,0,0,1,0,0
0.709,0.68,73900,0,0,1,0,0,0
0.004,0.68,55100,0,1,0,0,0,0
0.709,2.26,83600,1,0,0,0,0,0
0.004,1.53,26400,0,0,1,0,0,0
0.004,0.19,50300,1,0,0,0,0,0
0.004,0.16,67400,0,0,0,0,1,0
0.709,0.93,43700,0,1,0,0,0,0
0.709,2.26,96400,0,0,0,0,1,0
1.413,-0.33,50600,0,0,1,0,0,0
1.413,1.53,79900,0,0,1,0,0,0
0.709,-0.09,43400,0,0,1,0,0,0
-1.404,0.68,61000,0,0,1,0,0,0
0.004,1.88,52300,0,0,1,0,0,0
-0.700,0.19,89200,0,0,0,0,1,0
0.709,-0.33,69900,1,0,0,0,0,0
-1.404,-1.22,32500,0,0,1,0,0,0
-1.404,-0.82,18300,0,0,0,1,0,0
0.004,-1.50,33000,0,1,0,0,0,0
-0.700,0.67,64300,0,0,1,0,0,0
0.004,2.26,98900,0,0,0,0,1,0
0.004,0.13,44700,0,0,1,0,0,0
0.004,0.68,56000,0,0,1,0,0,0
0.004,0.13,72800,0,0,0,0,1,0
0.004,0.13,73400,0,0,1,0,0,0
-0.700,0.68,60000,0,1,0,0,0,0
-1.404,-1.21,42300,1,0,0,0,0,0
0.709,-1.66,33700,0,0,1,0,0,0
-0.700,-0.10,62300,0,0,0,0,1,0
-0.700,2.26,133900,0,0,0,1,0,0
1.413,2.26,93600,1,0,0,0,0,0
0.709,-0.10,63800,1,0,0,0,0,0
1.413,-1.62,47400,1,0,0,0,0,0
0.004,-1.66,36200,0,0,1,0,0,0
1.413,-1.34,36400,0,0,1,0,0,0
-0.700,-1.13,39600,1,0,0,0,0,0
0.004,2.26,81900,1,0,0,0,0,0
1.413,0.13,56000,0,1,0,0,0,0
-0.700,2.26,92000,0,0,0,0,1,0
0.004,0.19,71400,0,0,0,1,0,0
-1.404,0.13,38000,0,1,0,0,0,0
0.004,2.26,73600,1,0,0,0,0,0
1.413,-0.82,72200,1,0,0,0,0,0
1.413,0.13,37000,0,1,0,0,0,0
1.413,2.26,88200,0,0,0,0,1,0
-0.700,0.44,66000,0,0,0,0,1,0
1.413,0.13,66700,0,0,0,1,0,0
0.709,-0.82,59500,0,0,0,0,1,0
0.709,-1.05,50900,0,1,0,0,0,0
-0.700,0.13,37400,0,1,0,0,0,0
-1.404,-0.33,56400,0,0,1,0,0,0
1.413,-0.33,49800,1,0,0,0,0,0
-1.404,-0.33,50900,1,0,0,0,0,0
1.413,0.44,50900,1,0,0,0,0,0
0.004,-0.33,51000,0,0,1,0,0,0
0.709,2.26,93100,1,0,0,0,0,0
-1.404,0.13,38200,0,0,1,0,0,0
-0.700,0.13,36900,0,1,0,0,0,0
-0.700,-0.33,53800,0,1,0,0,0,0
-1.404,-1.05,42100,0,1,0,0,0,0
-0.700,-0.77,33000,0,0,1,0,0,0
-0.700,-0.82,38700,0,1,0,0,0,0
0.004,0.45,57600,1,0,0,0,0,0
0.709,0.13,58300,0,1,0,0,0,0
0.004,-0.77,42100,0,0,1,0,0,0
0.004,-0.09,41000,0,0,1,0,0,0
0.709,0.13,47600,0,1,0,0,0,0
-1.404,1.53,98300,0,0,0,1,0,0
-0.700,-0.55,53900,1,0,0,0,0,0
1.413,-0.82,57500,1,0,0,0,0,0
1.413,-0.33,67000,1,0,0,0,0,0
1.413,-0.33,60200,0,0,1,0,0,0
0.709,-1.66,28100,0,1,0,0,0,0
0.709,1.53,84000,0,0,0,0,1,0
-1.404,-0.33,47900,0,1,0,0,0,0
0.709,0.68,87700,0,1,0,0,0,0
1.413,-1.05,52400,0,1,0,0,0,0
0.004,-0.82,35900,1,0,0,0,0,0
-1.404,-0.33,49800,1,0,0,0,0,0
0.004,-0.33,46100,0,0,1,0,0,0
0.004,-0.33,79600,0,0,0,0,1,0
0.709,0.68,85400,0,0,1,0,0,0
1.413,-0.83,49100,0,0,0,0,1,0
-0.700,0.68,66300,0,0,1,0,0,0
-0.700,0.93,39400,0,1,0,0,0,0
1.413,-1.66,36600,0,0,1,0,0,0
1.413,0.68,64700,0,0,1,0,0,0
-0.700,1.53,87300,0,0,0,0,1,0
1.413,1.53,100100,0,0,0,0,1,0
-0.700,0.62,47700,1,0,0,0,0,0
0.004,-1.66,40500,1,0,0,0,0,0
-0.700,-0.82,42300,0,0,1,0,0,0
-1.404,0.16,65100,0,0,0,0,1,0
0.709,-0.33,52000,0,0,1,0,0,0
0.709,-0.10,59700,0,0,0,0,1,0
1.413,0.68,62900,0,1,0,0,0,0
0.709,0.13,23400,0,0,1,0,0,0
0.004,-0.82,47300,1,0,0,0,0,0
-0.700,1.53,100900,0,0,0,0,1,0
0.709,0.68,79700,0,0,1,0,0,0
0.004,0.62,93100,0,0,0,0,0,1
